dataset_id,name,institution,role
EsperonRodriguez_2019,Paul D. Rymer,"Hawkesbury Institute for the Environment, Western Sydney University, Locked Bag 1797, Penrith NSW 2751 Australia",lab_leader
EsperonRodriguez_2020,Manuel Esperon-Rodriguez,"Hawkesbury Institute for the Environment, Western Sydney University, Locked Bag 1797, Penrith NSW 2751 Australia","contact, collector"
Everingham_2020,Susan Everingham,University of New South Wales,"contact, collector"
Everingham_2020,Angela Moles,University of New South Wales,lab_leader
Falster_2003,Daniel Falster,"University of New South Wales, Sydney","collector, contact"
Falster_2003,Mark Westoby,Macquarie University Sydney,lab_leader
Falster_2005_1,Daniel Falster,"University of New South Wales, Sydney","collector, contact"
Falster_2005_1,Mark Westoby,Macquarie University Sydney,lab_leader
Falster_2005_2,Daniel Falster,"University of New South Wales, Sydney","collector, contact"
Falster_2005_2,Mark Westoby,Macquarie University Sydney,lab_leader
Farrell_2012,Claire Farrell,University of Melbourne,"collector, contact"
Farrell_2012,Christopher Szota,University of Melbourne,collector
Farrell_2013,Claire Farrell,University of Melbourne,"collector, contact"
Farrell_2013,Christopher Szota,University of Melbourne,collector
Farrell_2013,Stefan Arndt,University of Melbourne,lab_leader
Farrell_2017,Claire Farrell,University of Melbourne,"collector, contact"
Farrell_2017,Christopher Szota,University of Melbourne,collector
Farrell_2017,Stefan Arndt,University of Melbourne,lab_leader
Firn_2019,Jennifer Firn,Queensland University of Technology,contact
Fonseca_2000,Carlos Fonseca,Universidade Federal do Rio Grande do Norte,"collector, contact"
Fonseca_2000,Mark Westoby,Macquarie University Sydney,lab_leader
Fonseca_2000,Ian Wright,Macquarie University Sydney,contributor
Fonseca_2000,Jacob McC. Overton,"Landcare Research, New Zealand",assistant
Fonseca_2000,Bronwyn Collins,unknown,assistant
Forster_1992,Paul Irwin Forster,Queensland Herbarium,collector
Forster_1992,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
Forster_1995,Paul Irwin Forster,Queensland Herbarium,collector
Forster_1995,Rachael Gallagher,Macquarie University Sydney,"contributor, contact"
French_2017,Ben French,University of Tasmania,collector
French_2017,Lynda Prior,University of Tasmania,"contributor, contact"
French_2017,David Bowman,University of Tasmania,lab_leader
French_2017,Tony French,University of Tasmania,assistant
French_2017,Kathryn Willis,University of Tasmania,assistant
French_2017,Chris Guinane,University of Tasmania,assistant
French_2017,Alessandro Conti,University of Tasmania,assistant
French_2017,Chris Fahey,University of Tasmania,assistant
